## [iView]
## Converted from:	C:\Users\Jessica\Desktop\Manip SMI\Tests\Oeil droit\subject-23.idf
## Date:	21.03.2017 17:15:00
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	126
## Uses Plane File:	False
## Number of Samples:	42160                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	participant                                                                                                                                                                                                                                                     
## Description:	experiment                                                                                                                                                                                                                                                      
## [Calibration]
## Calibration Type:	9-point
## Calibration Area:	1366	768
## Calibration Point 0:	Position(684;385)
## Calibration Point 1:	Position(68;38)
## Calibration Point 2:	Position(1300;38)
## Calibration Point 3:	Position(68;732)
## Calibration Point 4:	Position(1300;732)
## Calibration Point 5:	Position(68;385)
## Calibration Point 6:	Position(684;38)
## Calibration Point 7:	Position(1300;385)
## Calibration Point 8:	Position(684;732)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IRX0940001-1426
## Operating System :	6.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	R POR X [px]	R POR Y [px]	Frame	Aux1
414581091	SMP	1	582.32	656.30		
414585108	SMP	1	580.84	658.59		
414589112	SMP	1	578.87	661.99		
414593107	SMP	1	578.16	661.91		
414597090	SMP	1	576.81	659.67		
414601106	SMP	1	575.65	663.67		
414605141	SMP	1	575.53	659.80		
414609099	SMP	1	574.75	662.41		
414613078	SMP	1	573.13	660.28		
414617107	SMP	1	572.75	647.36		
414621096	SMP	1	571.54	659.38		
414625080	SMP	1	571.41	662.53		
414629109	SMP	1	572.06	661.11		
414633108	SMP	1	572.97	658.84		
414637098	SMP	1	574.75	659.60		
414641078	SMP	1	576.40	657.42		
414645112	SMP	1	577.62	652.86		
414649106	SMP	1	579.40	654.84		
414653095	SMP	1	581.81	650.82		
414657078	SMP	1	583.91	651.82		
414661109	SMP	1	585.86	650.24		
414665112	SMP	1	587.02	652.56		
414669099	SMP	1	588.08	649.58		
414673087	SMP	1	588.25	650.49		
414677070	SMP	1	588.16	652.84		
414681095	SMP	1	587.57	654.40		
414685134	SMP	1	586.48	658.43		
414689094	SMP	1	586.77	657.13		
414693076	SMP	1	586.60	659.22		
414697086	SMP	1	586.16	662.15		
414701118	SMP	1	585.32	663.24		
414705084	SMP	1	585.00	665.19		
414709083	SMP	1	586.13	663.25		
414713086	SMP	1	586.24	665.29		
414717115	SMP	1	586.54	664.18		
414721079	SMP	1	586.79	664.85		
414725081	SMP	1	587.46	660.41		
414729090	SMP	1	588.06	663.61		
414733113	SMP	1	587.99	660.81		
414737083	SMP	1	586.99	662.79		
414741066	SMP	1	586.77	656.87		
414745090	SMP	1	585.90	656.60		
414749094	SMP	1	584.41	657.31		
414753090	SMP	1	581.14	657.08		
414757086	SMP	1	578.96	652.28		
414761082	SMP	1	576.59	654.13		
414765100	SMP	1	575.05	653.26		
414769088	SMP	1	573.28	653.53		
414773094	SMP	1	571.11	652.60		
414777094	SMP	1	569.16	653.38		
414781088	SMP	1	567.13	653.39		
414785096	SMP	1	566.72	655.47		
414789099	MSG	1	# Message: Le sujet a repondu
414789131	SMP	1	567.29	649.60		
414793108	SMP	1	567.34	653.00		
414797092	SMP	1	568.51	654.66		
414801090	SMP	1	569.64	656.39		
414805092	SMP	1	572.78	654.58		
414809086	SMP	1	574.72	657.96		
414813083	SMP	1	575.94	656.29		
414817095	SMP	1	578.67	657.33		
414821083	SMP	1	580.38	656.83		
414825099	SMP	1	581.21	655.24		
414829086	SMP	1	582.30	652.57		
414833091	SMP	1	583.26	653.56		
414837078	SMP	1	583.79	652.35		
414841081	SMP	1	585.22	648.80		
414845078	SMP	1	587.15	647.22		
414849096	SMP	1	586.77	651.06		
414853078	SMP	1	586.89	645.89		
414857080	SMP	1	588.55	650.34		
414861101	SMP	1	588.94	642.51		
414865128	SMP	1	589.80	650.06		
414869068	SMP	1	589.88	633.70		
414873066	SMP	1	588.94	637.40		
414877100	SMP	1	587.25	647.40		
414881064	SMP	1	586.21	648.14		
414885104	SMP	1	583.29	651.10		
414889088	SMP	1	581.60	653.36		
414893081	SMP	1	580.06	653.82		
414895024	MSG	1	# Message: stop_trial  distractor 3 tgt_hor -262 tgt_vert 262 cor_resp 2 sub_resp 2 tim_resp 1764
416652818	SMP	2	679.49	410.12		
416655486	MSG	2	# Message: Starting wait for fixation period
416656253	MSG	2	# Message: stop_fixation
416656748	SMP	2	680.25	408.34		
416656821	MSG	2	# Message: start_trial 1 C:\Users\Jessica\Desktop\Manip SMI\Images_finales\face3.png
416660738	SMP	2	681.29	405.51		
416664766	SMP	2	681.83	405.28		
416668794	SMP	2	681.77	404.29		
416672752	SMP	2	681.72	404.50		
416676725	SMP	2	681.57	403.18		
416680740	SMP	2	680.51	402.00		
416684774	SMP	2	680.99	402.34		
416688739	SMP	2	681.57	402.45		
416692739	SMP	2	681.97	401.52		
416696745	SMP	2	681.59	401.29		
416700775	SMP	2	681.15	402.35		
416704738	SMP	2	680.18	403.02		
416708738	SMP	2	680.13	403.30		
416712740	SMP	2	680.03	405.42		
416716783	SMP	2	680.33	404.20		
416720744	SMP	2	680.24	404.12		
416724737	SMP	2	680.95	405.78		
416728739	SMP	2	681.44	404.29		
416732750	SMP	2	681.06	403.34		
416736749	SMP	2	681.68	402.98		
416740725	SMP	2	682.29	402.22		
416744744	SMP	2	682.92	401.09		
416748738	SMP	2	683.59	400.85		
416752744	SMP	2	683.58	400.32		
416756746	SMP	2	683.88	398.57		
416760735	SMP	2	683.83	397.81		
416764736	SMP	2	683.84	399.63		
416768751	SMP	2	683.47	398.23		
